"","서적명","sum_sales","순위"
"1083",1751,0,162
"1084",1752,0,162
"1085",1753,0,162
"1086",1754,0,162
"1087",1755,0,162
"1088",1756,0,162
"1089",1757,0,162
"1090",1758,0,162
"1091",1759,0,162
"1092",1760,0,162
"1093",1761,0,162
"1094",1762,0,162
"1095",1763,0,162
"1096",1764,0,162
"1097",1766,0,162
"1098",1773,0,162
"1099",1774,0,162
"1100",1775,0,162
"1101",1778,1606925,139
"1102",1779,0,162
"1103",1780,0,162
"1104",1783,0,162
"1105",1790,0,162
"1106",1791,126650,156
"1107",1792,0,162
"1108",1794,0,162
"1109",1796,0,162
"1110",1798,0,162
"1111",1799,0,162
"1112",1801,0,162
"1113",1802,0,162
"1114",1803,0,162
"1115",1804,0,162
"1116",1806,0,162
"1117",1807,0,162
"1118",1810,0,162
"1119",1811,122999250,67
"1120",1812,0,162
"1121",1813,0,162
"1122",1820,178500,155
"1123",1821,0,162
"1124",1822,0,162
"1125",1823,0,162
"1126",1824,0,162
"1127",1825,0,162
"1128",1827,0,162
"1129",1831,0,162
"1130",1834,0,162
"1131",1836,0,162
"1132",1837,210622775,51
"1133",1839,0,162
"1134",1840,0,162
"1135",1841,0,162
"1136",1842,0,162
"1137",1843,0,162
"1138",1844,0,162
"1139",1846,3187195275,22
"1140",1847,0,162
"1141",1848,0,162
"1142",1849,3351975,132
"1143",1850,0,162
"1144",1851,4609550,129
"1145",1852,4754475,127
"1146",1853,0,162
"1147",1855,0,162
"1148",1858,565081275,35
"1149",1859,23196627.5,100
"1150",1860,5063487825,13
"1151",1861,0,162
"1152",1864,0,162
"1153",1865,0,162
"1154",1868,0,162
"1155",1869,0,162
"1156",1870,0,162
"1157",1873,573750,146
"1158",1875,25028250,98
"1159",1876,0,162
"1160",1877,0,162
"1161",1879,0,162
"1162",1888,0,162
"1163",1889,0,162
"1164",1891,0,162
"1165",1895,0,162
"1166",1896,0,162
"1167",1897,0,162
"1168",1898,0,162
"1169",1899,0,162
"1170",1900,4749800,128
"1171",1901,8802600,117
"1172",1905,0,162
"1173",1908,0,162
"1174",1909,0,162
"1175",1910,0,162
"1176",1914,0,162
"1177",1915,0,162
"1178",1916,0,162
"1179",1917,0,162
"1180",1918,0,162
"1181",1922,0,162
"1182",1923,0,162
"1183",1924,0,162
"1184",1925,105065525,69
"1185",1926,0,162
"1186",1927,0,162
"1187",1928,0,162
"1188",1932,0,162
"1189",1933,0,162
"1190",1934,0,162
"1191",1936,0,162
"1192",1937,0,162
"1193",1938,0,162
"1194",1939,0,162
"1195",1944,0,162
"1196",1945,369234475,41
"1197",1946,0,162
"1198",1947,19340475,104
"1199",1953,0,162
"1200",1956,0,162
"1201",1957,0,162
"1202",1958,0,162
"1203",1959,0,162
"1204",1960,0,162
"1205",1961,0,162
"1206",1962,0,162
"1207",1963,0,162
"1208",1964,0,162
"1209",1965,0,162
"1210",1966,0,162
"1211",1967,0,162
"1212",1968,0,162
"1213",1969,0,162
"1214",1970,0,162
"1215",1971,0,162
"1216",1972,0,162
"1217",1973,0,162
"1218",1974,0,162
"1219",1975,0,162
"1220",1976,0,162
"1221",1977,0,162
"1222",1978,0,162
"1223",1979,0,162
"1224",1980,0,162
"1225",1981,0,162
"1226",1982,0,162
"1227",1983,0,162
"1228",1984,0,162
"1229",1985,0,162
"1230",1986,0,162
"1231",1987,0,162
"1232",1988,0,162
"1233",1989,0,162
"1234",1990,0,162
"1235",1991,0,162
"1236",1992,0,162
"1237",1993,0,162
"1238",1994,0,162
"1239",1995,0,162
"1240",1996,0,162
"1241",1997,0,162
"1242",1998,0,162
"1243",1999,0,162
"1244",2000,0,162
"1245",2001,0,162
"1246",2002,0,162
"1247",2003,0,162
"1248",2004,0,162
"1249",2005,0,162
"1250",2006,0,162
"1251",2007,0,162
"1252",2009,0,162
"1253",2020,0,162
"1254",2025,0,162
"1255",2028,0,162
"1256",2029,0,162
"1257",2031,42500,157
"1258",2032,0,162
"1259",2033,0,162
"1260",2034,0,162
"1261",2035,0,162
"1262",2036,0,162
"1263",2037,0,162
"1264",2038,0,162
"1265",2039,0,162
"1266",2041,0,162
"1267",2042,0,162
"1268",2044,0,162
"1269",2045,0,162
"1270",2046,0,162
"1271",2047,0,162
"1272",2048,0,162
"1273",2049,0,162
"1274",2050,0,162
"1275",2051,0,162
"1276",2054,0,162
"1277",2055,0,162
"1278",2057,578888250,34
"1279",2058,0,162
"1280",2064,0,162
"1281",2065,0,162
"1282",2066,0,162
"1283",2067,0,162
"1284",2070,0,162
"1285",2071,0,162
"1286",2072,0,162
"1287",2073,0,162
"1288",2074,0,162
"1289",2076,0,162
"1290",2077,0,162
"1291",2078,0,162
"1292",2079,0,162
"1293",2080,0,162
"1294",2081,0,162
"1295",2082,0,162
"1296",2083,0,162
"1297",2086,0,162
"1298",2087,0,162
"1299",2090,0,162
"1300",2096,0,162
"1301",2098,0,162
"1302",2099,188963500,52
"1303",2100,0,162
"1304",2101,0,162
"1305",2102,0,162
"1306",2103,0,162
"1307",2104,0,162
"1308",2107,0,162
"1309",2108,484830225,38
"1310",2111,45708750,86
"1311",2112,0,162
"1312",2113,0,162
"1313",2114,16652350,107
"1314",2115,0,162
"1315",2119,0,162
"1316",2120,0,162
"1317",2121,0,162
"1318",2122,0,162
"1319",2123,0,162
"1320",2124,0,162
"1321",2125,0,162
"1322",2126,0,162
"1323",2127,0,162
"1324",2129,0,162
"1325",2130,60292200,80
"1326",2133,0,162
"1327",2134,103780325,70
"1328",2145,0,162
"1329",2146,0,162
"1330",2147,0,162
"1331",2151,0,162
"1332",2153,0,162
"1333",2154,0,162
"1334",2155,0,162
"1335",2157,0,162
"1336",2158,8213975,119
"1337",2159,0,162
"1338",2160,0,162
"1339",2161,0,162
"1340",2163,0,162
"1341",2167,0,162
"1342",2168,0,162
"1343",2169,0,162
"1344",2170,0,162
"1345",2171,0,162
"1346",2172,0,162
"1347",2173,0,162
"1348",2174,0,162
"1349",2175,0,162
"1350",2176,0,162
"1351",2177,0,162
"1352",2178,0,162
"1353",2179,0,162
"1354",2180,0,162
"1355",2181,0,162
"1356",2182,0,162
"1357",2183,0,162
"1358",2184,0,162
"1359",2185,0,162
"1360",2186,0,162
"1361",2187,0,162
"1362",2188,0,162
"1363",2189,0,162
"1364",2190,0,162
"1365",2191,0,162
"1366",2192,0,162
"1367",2193,0,162
"1368",2194,0,162
"1369",2195,0,162
"1370",2196,0,162
"1371",2197,0,162
"1372",2198,0,162
"1373",2202,0,162
"1374",2203,0,162
"1375",2204,0,162
"1376",2207,0,162
"1377",2208,0,162
"1378",2210,0,162
"1379",2218,0,162
"1380",2228,0,162
"1381",2229,0,162
"1382",2242,0,162
"1383",2243,0,162
"1384",2244,2273750,136
"1385",2245,0,162
"1386",2246,0,162
