##Data from database: WDI												
##Last Updated: 05/06/2014												
SeriesName	SeriesCode	Country	CountryCode	2004	2005	2006	2007	2008	2009	2010	2011	2012
GDP per capita (current US$)	NY.GDP.PCAP.CD	Latvia	LVA	6080.789964	7165.377699	8986.401376	13073.381	15463.66028	12082.06368	11446.50818	13827.36026	13946.96589
GDP per capita (current US$)	NY.GDP.PCAP.CD	Lebanon	LBN	5654.234093	5483.17952	5499.86465	6052.620352	7185.61148	8159.021981	8551.852416	9148.129013	9705.392234
GDP per capita (current US$)	NY.GDP.PCAP.CD	Lesotho	LSO	645.4934642	710.5483628	736.360043	816.8001863	826.8271068	862.7867207	1097.02433	1243.909506	1193.039051
GDP per capita (current US$)	NY.GDP.PCAP.CD	Liberia	LBR	146.6412405	165.7600834	178.4537308	209.8140849	231.447496	302.2803524	326.6042804	376.9284544	413.7574149
GDP per capita (current US$)	NY.GDP.PCAP.CD	Libya	LBY	6062.214524	7864.937572	9933.108824	12418.18359	15853.46151	10455.57487			
GDP per capita (current US$)	NY.GDP.PCAP.CD	Liechtenstein	LIE	100286.6675	105306.7466	113873.925	130348.5591	138536.7578	134617.3796			
GDP per capita (current US$)	NY.GDP.PCAP.CD	Lithuania	LTU	6677.833052	7814.006137	9201.635519	12101.64505	14774.70715	11649.43463	11722.01438	14158.00684	14172.26877
GDP per capita (current US$)	NY.GDP.PCAP.CD	Luxembourg	LUX	74388.70863	80925.21999	90015.5278	106919.5314	112028.5275	99281.76831	102678.7979	111913.1844	103858.027
GDP per capita (current US$)	NY.GDP.PCAP.CD	Macao SAR, China	MAC	22371.61368	25189.77936	30363.62373	36606.78267	40847.05249	40859.98718	53045.87903	67359.47356	78275.14752
GDP per capita (current US$)	NY.GDP.PCAP.CD	Macedonia, FYR	MKD	2643.802568	2863.96318	3133.319212	3891.895346	4685.62208	4433.857082	4442.295954	4961.808783	4565.269884
GDP per capita (current US$)	NY.GDP.PCAP.CD	Madagascar	MDG	245.6704529	275.4767076	292.956519	379.0664996	471.442351	419.0909429	419.2238133	457.207965	447.4371289
GDP per capita (current US$)	NY.GDP.PCAP.CD	Malawi	MWI	208.8557635	213.1566745	234.2123961	265.9969075	302.497319	345.1947614	359.5795268	363.6415594	268.0539113
GDP per capita (current US$)	NY.GDP.PCAP.CD	Malaysia	MYS	4918.166731	5553.943582	6179.658221	7218.397454	8460.357289	7277.762756	8754.24282	10058.04302	10432.06247
GDP per capita (current US$)	NY.GDP.PCAP.CD	Maldives	MDV	3677.220875	3335.195	4304.056158	5002.542049	6027.324271	6208.59551	6552.484491	6487.561793	6566.647551
GDP per capita (current US$)	NY.GDP.PCAP.CD	Mali	MLI	421.1704288	444.2846436	496.7442831	561.4963327	665.0546888	661.1317114	673.6946614	740.5223214	699.3414362
GDP per capita (current US$)	NY.GDP.PCAP.CD	Malta	MLT	14064.2296	14810.0352	15766.09292	18474.03817	20895.7805	19636.00628	19695.25572	21985.33916	20838.88359
GDP per capita (current US$)	NY.GDP.PCAP.CD	Marshall Islands	MHL	2517.693389	2642.376249	2752.323769	2871.313853	2920.198357	2895.641627	3112.840467	3251.738261	3470.649795
GDP per capita (current US$)	NY.GDP.PCAP.CD	Mauritania	MRT	600.0622771	694.3200828	939.1562935	1008.024395	1107.318275	860.9083679	1017.166278	1154.065936	1106.136947
GDP per capita (current US$)	NY.GDP.PCAP.CD	Mauritius	MUS	5177.366465	5054.318112	5373.630551	6182.200111	7599.986676	6928.972012	7586.969533	8748.144166	8119.546956
GDP per capita (current US$)	NY.GDP.PCAP.CD	Mexico	MEX	7083.468525	7858.76217	8618.25138	9191.057357	9559.793164	7690.546308	8884.560103	9717.473061	9748.868686
GDP per capita (current US$)	NY.GDP.PCAP.CD	Micronesia, Fed. Sts.	FSM	2247.837771	2352.63934	2393.800551	2434.806287	2500.905686	2668.810506	2838.448841	3000.150055	3154.513862
GDP per capita (current US$)	NY.GDP.PCAP.CD	Moldova	MDA	720.9409321	831.1591092	950.6988847	1230.809811	1695.972811	1525.526119	1631.540981	1970.569953	2037.570226
GDP per capita (current US$)	NY.GDP.PCAP.CD	Monaco	MCO	123263.6132	126599.4033	135688.7999	170632.9562	193892.3223	153042.3496	145229.8379	163025.859	
GDP per capita (current US$)	NY.GDP.PCAP.CD	Mongolia	MNG	798.0243785	998.7563599	1333.877158	1631.90104	2135.811338	1715.363735	2285.645378	3181.104401	3672.96694
GDP per capita (current US$)	NY.GDP.PCAP.CD	Montenegro	MNE	3372.957075	3665.327437	4370.597539	5938.583852	7305.809832	6712.623621	6635.90802	7253.452092	7041.224593
GDP per capita (current US$)	NY.GDP.PCAP.CD	Morocco	MAR	1881.964721	1948.201997	2128.074688	2416.263549	2827.287803	2861.027067	2822.733739	3044.107888	2902.329958
GDP per capita (current US$)	NY.GDP.PCAP.CD	Mozambique	MOZ	278.7826934	313.1079297	328.7073992	362.4324248	434.5301501	414.110156	386.9631655	511.2994942	565.1507459
GDP per capita (current US$)	NY.GDP.PCAP.CD	Myanmar	MMR									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Namibia	NAM	3298.010724	3582.24386	3886.480583	4234.925154	4183.231369	4133.058699	5078.51302	5692.188831	5785.748182
GDP per capita (current US$)	NY.GDP.PCAP.CD	Nepal	NPL	291.8690418	321.4550186	352.8009747	397.9040179	477.9321764	484.266814	596.3785934	704.1858488	690.2053853
GDP per capita (current US$)	NY.GDP.PCAP.CD	Netherlands	NLD	37458.43287	39122.29108	41458.93271	47770.80121	52951.03359	48173.90657	46773.35381	49886.28451	45960.13933
GDP per capita (current US$)	NY.GDP.PCAP.CD	New Caledonia	NCL									
GDP per capita (current US$)	NY.GDP.PCAP.CD	New Zealand	NZL	25194.81413	27536.81043	26359.61129	31996.76021	30610.28886	27474.33318	32796.09016	36918.78818	38636.8671
GDP per capita (current US$)	NY.GDP.PCAP.CD	Nicaragua	NIC	1075.98338	1158.997008	1228.304847	1330.818111	1456.310349	1420.105166	1474.748819	1631.723928	1753.642367
GDP per capita (current US$)	NY.GDP.PCAP.CD	Niger	NER	240.2174387	258.2817603	266.5794323	302.2664078	366.6306792	352.6851141	359.801242	388.3267312	394.7758309
GDP per capita (current US$)	NY.GDP.PCAP.CD	Nigeria	NGA	645.9256502	804.1523667	1014.756968	1130.879787	1376.015915	1090.746284	2293.885305	2518.631878	2722.298481
GDP per capita (current US$)	NY.GDP.PCAP.CD	Northern Mariana Islands	MNP									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Norway	NOR	56627.65738	65767.01961	72959.76801	83556.2493	95189.86593	78457.42178	86155.52905	99172.62005	99635.87453
GDP per capita (current US$)	NY.GDP.PCAP.CD	Oman	OMN	10013.63322	12252.61288	14405.09193	16305.61341	23421.35529	18114.47826	20983.90034	23132.9389	23569.93672
GDP per capita (current US$)	NY.GDP.PCAP.CD	Pakistan	PAK	631.4978143	693.1766897	853.0709659	929.5874437	1018.380734	988.5873474	1024.588886	1213.931385	1256.65956
GDP per capita (current US$)	NY.GDP.PCAP.CD	Palau	PLW	9635.395876	10364.63693	10499.28297	10529.44237	10516.8508	9709.267999	9601.530341	10332.10326	11005.86563
GDP per capita (current US$)	NY.GDP.PCAP.CD	Panama	PAN	4292.41963	4594.481939	4998.382679	5669.867438	6472.978601	6682.502518	7229.112201	8372.577255	9534.408425
