영화명,개봉일,첫주매출액,첫주관객수,대표국적,제작사,배급사,등급,장르,감독,배우,총관객수,총매출액,등급2
숨바꼭질,2013-08-14,18445610500,2613622,한국,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,허정,"손현주,문정희,전미선",5603987,39601563500,3
R.I.P.D. : 알.아이.피.디.,2013-08-22,704020571,98384,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,코미디,범죄",로버트 슈벤트케,"라이언 레이놀즈,제프 브리지스,케빈 베이컨,메리 루이스 파커",101425,725156071,3
나우 유 씨 미 : 마술사기단,2013-08-22,10067003587,1434840,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션,스릴러",루이스 리테리어,"제시 아이젠버그,마크 러팔로,우디 해럴슨,멜라니 로랑,아일라 피셔,데이브 프랑코,마이클 케인,모건 프리먼",2718036,19145648869,3
일대종사,2013-08-22,491855000,69148,중국,,CGV 무비꼴라쥬,12세이상관람가,"액션,드라마",왕가위,"양조위,장쯔이,송혜교,장첸",101351,732757000,3
엘리시움,2013-08-29,6668499500,894342,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),청소년관람불가,"SF,액션",닐 블롬캠프,"맷 데이먼,조디 포스터,샬토 코플리,윌리엄 피츠너",1207370,9015843500,1
잡스,2013-08-29,1373572136,194512,미국,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,조슈아 마이클 스턴,"애쉬튼 커처,조쉬 가드,더못 멀로니,매튜 모딘",225142,1594086136,3
바람이 분다,2013-09-05,654389000,93568,일본,스튜디오 지브리,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,드라마",미야자키 하야오,"안노 히데아키,타키모토 미오리",106432,747207500,2
스파이,2013-09-05,8720924000,1233146,한국,"(주)제이케이필름,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,액션,이승준,"설경구,문소리,다니엘 헤니,고창석,한예리,라미란",3434683,24502715305,3
관상,2013-09-11,22868908500,3231082,한국,"(주)주피터필름,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,15세이상관람가,"사극,드라마",한재림,"송강호,이정재,백윤식,조정석,이종석,김혜수",9075555,65600129000,3
몬스터 대학교,2013-09-12,1932575500,287481,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,애니메이션,댄 스캔론,"빌리 크리스탈,존 굿맨,스티브 부세미,롭 리글",861874,5820294000,2
섀도우 헌터스: 뼈의 도시,2013-09-12,2177658000,311736,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"판타지,액션",해럴드 즈워트,"릴리 콜린스,제이미 캠벨 바우어,케빈 지거스,제미마 웨스트,레나 헤디,조나단 리스 메이어스",571071,4034149500,3
슈퍼배드 2,2013-09-12,2665329000,393661,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"크리스 리노드,피에르 코핀","알 파치노,스티브 카렐,미란다 코스그로브,태연,서현",942991,6470490000,2
퍼시 잭슨과 괴물의 바다,2013-09-12,1815088609,251414,미국,,이십세기폭스코리아(주),12세이상관람가,"판타지,어드벤처",쏘어 프류덴탈,"로건 레먼,알렉산드리아 다다리오,브랜든 T. 잭슨",519561,3791190609,3
컨저링,2013-09-17,6474425500,897221,미국,,워너브러더스코리아(주),15세이상관람가,"공포(호러),스릴러",제임스 완,"베라 파미가,패트릭 윌슨,릴리 테일러",2248932,16252078177,3
블루 재스민,2013-09-25,509264500,71657,미국,,(주)인벤트스톤,15세이상관람가,드라마,우디 앨런,"케이트 블란쳇,알렉 볼드윈",115848,845679700,3
히든 카드,2013-09-26,1038708596,145959,미국,,이십세기폭스코리아(주),청소년관람불가,"범죄,스릴러",브래드 퍼맨,"저스틴 팀버레이크,벤 애플렉,젬마 아터튼",151479,1080451651,1
깡철이,2013-10-02,6367395715,888267,한국,"(주)시네마서비스,㈜더드림앤드픽쳐스,㈜팝콘필름",씨제이이앤엠 주식회사,15세이상관람가,"드라마,액션,가족",안권태,"유아인,김해숙,김정태,김성오,정유미,이시언,신정근",1178527,8368181462,3
소원,2013-10-02,6952371000,1000407,한국,(주)필름모멘텀,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,이준익,"설경구,엄지원,이레,김해숙,김상호,라미란,양진성",1962622,13505738000,3
프리즈너스,2013-10-02,1224764500,167381,미국,,"(주)넥스트엔터테인먼트월드(NEW),판씨네마㈜",청소년관람불가,"범죄,드라마,스릴러",드니 빌뇌브,"휴 잭맨,제이크 질렌홀",187486,1369998000,1
러시 : 더 라이벌,2013-10-09,755843500,103175,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"액션,드라마",론 하워드,"크리스 헴스워스,다니엘 브륄",113848,830302000,1
화이: 괴물을 삼킨 아이,2013-10-09,10417053500,1400176,한국,"나우필름(주),파인하우스필름㈜,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,청소년관람불가,"액션,스릴러",장준환,"여진구,김윤석,조진웅,장현성,김성균,박해준,임지은,남지현",1553300,11473459000,1
